Conversion run started at 2026-05-20 19:48:44
Working directory: /home/gpca/harbinger
[2026-05-20 19:48:53] phase=rmd->md status=ok duration=8.835s file=Rmd/anomalies/01-baseline-hanr_histogram.Rmd
[2026-05-20 19:48:54] phase=rmd->md status=ok duration=1.220s file=Rmd/anomalies/10-regression-hanr_arima.Rmd
[2026-05-20 19:48:55] phase=rmd->md status=ok duration=0.841s file=Rmd/anomalies/11-regression-hanr_fbiad.Rmd
[2026-05-20 19:48:57] phase=rmd->md status=ok duration=2.059s file=Rmd/anomalies/12-regression-hanr_emd.Rmd
[2026-05-20 19:48:58] phase=rmd->md status=ok duration=1.170s file=Rmd/anomalies/13-regression-hanr_fft.Rmd
[2026-05-20 19:48:59] phase=rmd->md status=ok duration=1.023s file=Rmd/anomalies/14-regression-hanr_fft_amoc.Rmd
[2026-05-20 19:49:00] phase=rmd->md status=ok duration=1.024s file=Rmd/anomalies/15-regression-hanr_fft_amoc_cusum.Rmd
[2026-05-20 19:49:01] phase=rmd->md status=ok duration=1.056s file=Rmd/anomalies/16-regression-hanr_fft_binseg.Rmd
[2026-05-20 19:49:02] phase=rmd->md status=ok duration=1.177s file=Rmd/anomalies/17-regression-hanr_fft_binseg_cusum.Rmd
[2026-05-20 19:49:04] phase=rmd->md status=ok duration=1.234s file=Rmd/anomalies/18-regression-hanr_fft_sma.Rmd
[2026-05-20 19:49:05] phase=rmd->md status=ok duration=1.328s file=Rmd/anomalies/20-regression-hanr_garch.Rmd
[2026-05-20 19:49:06] phase=rmd->md status=ok duration=1.510s file=Rmd/anomalies/21-regression-hanr_remd.Rmd
[2026-05-20 19:49:08] phase=rmd->md status=ok duration=1.195s file=Rmd/anomalies/22-regression-hanr_rtad.Rmd
[2026-05-20 19:49:09] phase=rmd->md status=ok duration=1.042s file=Rmd/anomalies/23-regression-hanr_wavelet.Rmd
[2026-05-20 19:49:10] phase=rmd->md status=ok duration=1.298s file=Rmd/anomalies/30-regression-ml-hanr_ml_elm.Rmd
[2026-05-20 19:49:11] phase=rmd->md status=ok duration=1.065s file=Rmd/anomalies/31-regression-ml-hanr_ml_mlp.Rmd
[2026-05-20 19:49:12] phase=rmd->md status=ok duration=0.868s file=Rmd/anomalies/32-regression-ml-hanr_ml_rf.Rmd
[2026-05-20 19:49:13] phase=rmd->md status=ok duration=1.274s file=Rmd/anomalies/33-regression-ml-hanr_ml_svm.Rmd
[2026-05-20 19:49:19] phase=rmd->md status=ok duration=6.119s file=Rmd/anomalies/34-regression-ml-hanr_ml_lstm.Rmd
[2026-05-20 19:49:23] phase=rmd->md status=ok duration=3.273s file=Rmd/anomalies/35-regression-ml-hanr_ml_conv1d.Rmd
[2026-05-20 19:49:25] phase=rmd->md status=ok duration=2.192s file=Rmd/anomalies/40-classification-hanc_ml_majority.Rmd
[2026-05-20 19:49:27] phase=rmd->md status=ok duration=1.905s file=Rmd/anomalies/41-classification-hanc_ml_dtree.Rmd
[2026-05-20 19:49:29] phase=rmd->md status=ok duration=2.240s file=Rmd/anomalies/42-classification-hanc_ml_knn.Rmd
[2026-05-20 19:49:31] phase=rmd->md status=ok duration=1.750s file=Rmd/anomalies/43-classification-hanc_ml_nb.Rmd
[2026-05-20 19:49:32] phase=rmd->md status=ok duration=1.706s file=Rmd/anomalies/44-classification-hanc_ml_rf.Rmd
[2026-05-20 19:49:34] phase=rmd->md status=ok duration=1.773s file=Rmd/anomalies/45-classification-hanc_ml_svm.Rmd
[2026-05-20 19:49:36] phase=rmd->md status=ok duration=1.943s file=Rmd/anomalies/46-classification-hanc_ml_mlp.Rmd
[2026-05-20 19:49:37] phase=rmd->md status=ok duration=1.184s file=Rmd/anomalies/50-clustering-hanct_kmeans_anomaly.Rmd
[2026-05-20 19:49:41] phase=rmd->md status=ok duration=3.681s file=Rmd/anomalies/51-clustering-hanct_dtw_anomaly.Rmd
[2026-05-20 19:49:42] phase=rmd->md status=ok duration=1.297s file=Rmd/anomalies/60-discord-hanct_kmeans_discord.Rmd
[2026-05-20 19:49:44] phase=rmd->md status=ok duration=1.855s file=Rmd/anomalies/61-discord-hanct_dtw_discord.Rmd
[2026-05-20 19:49:46] phase=rmd->md status=ok duration=2.249s file=Rmd/anomalies/70-ensemble-hanr_ensemble.Rmd
[2026-05-20 19:49:49] phase=rmd->md status=ok duration=2.268s file=Rmd/anomalies/71-ensemble-hanr_ensemble_fuzzy.Rmd
[2026-05-20 19:49:50] phase=rmd->md status=ok duration=1.504s file=Rmd/anomalies/80-autoencoder-han_autoenc_ed.Rmd
[2026-05-20 19:49:52] phase=rmd->md status=ok duration=1.558s file=Rmd/anomalies/81-autoencoder-han_autoenc_denoise_ed.Rmd
[2026-05-20 19:49:53] phase=rmd->md status=ok duration=1.434s file=Rmd/anomalies/82-autoencoder-han_autoenc_conv_ed.Rmd
[2026-05-20 19:49:56] phase=rmd->md status=ok duration=2.764s file=Rmd/anomalies/83-autoencoder-han_autoenc_lstm_ed.Rmd
[2026-05-20 19:49:58] phase=rmd->md status=ok duration=2.148s file=Rmd/anomalies/84-autoencoder-han_autoenc_stacked_ed.Rmd
[2026-05-20 19:49:59] phase=rmd->md status=ok duration=1.387s file=Rmd/anomalies/85-autoencoder-han_autoenc_variational_ed.Rmd
[2026-05-20 19:50:01] phase=rmd->md status=ok duration=1.758s file=Rmd/anomalies/86-autoencoder-han_autoenc_adv_ed.Rmd
[2026-05-20 19:50:02] phase=rmd->md status=ok duration=1.136s file=Rmd/anomalies/90-multivariate-hmu_pca.Rmd
[2026-05-20 19:50:02] phase=rmd->md status=ok duration=0.011s file=Rmd/anomalies/README.Rmd
[2026-05-20 19:50:05] phase=rmd->md status=ok duration=2.749s file=Rmd/change_point/01-single-break-hcp_amoc.Rmd
[2026-05-20 19:50:06] phase=rmd->md status=ok duration=0.559s file=Rmd/change_point/02-multiple-breaks-hcp_binseg.Rmd
[2026-05-20 19:50:06] phase=rmd->md status=ok duration=0.567s file=Rmd/change_point/03-multiple-breaks-hcp_pelt.Rmd
[2026-05-20 19:50:07] phase=rmd->md status=ok duration=0.650s file=Rmd/change_point/04-structural-break-hcp_chow.Rmd
[2026-05-20 19:50:11] phase=rmd->md status=ok duration=3.849s file=Rmd/change_point/05-structural-break-hcp_gft.Rmd
[2026-05-20 19:50:11] phase=rmd->md status=ok duration=0.806s file=Rmd/change_point/06-changefinder-hcp_cf_lr.Rmd
[2026-05-20 19:50:12] phase=rmd->md status=ok duration=1.009s file=Rmd/change_point/07-changefinder-hcp_cf_arima.Rmd
[2026-05-20 19:50:13] phase=rmd->md status=ok duration=0.953s file=Rmd/change_point/08-changefinder-hcp_cf_ets.Rmd
[2026-05-20 19:50:15] phase=rmd->md status=ok duration=1.251s file=Rmd/change_point/09-volatility-hcp_garch.Rmd
[2026-05-20 19:50:16] phase=rmd->md status=ok duration=1.600s file=Rmd/change_point/10-window-hcp_scp.Rmd
[2026-05-20 19:50:24] phase=rmd->md status=ok duration=7.552s file=Rmd/change_point/11-waypoint-hcp_waypoint_ed.Rmd
[2026-05-20 19:50:33] phase=rmd->md status=ok duration=9.329s file=Rmd/change_point/12-waypoint-hcp_waypoint_lstm.Rmd
[2026-05-20 19:50:41] phase=rmd->md status=ok duration=7.385s file=Rmd/change_point/13-waypoint-hcp_waypoint_conv.Rmd
[2026-05-20 19:51:12] phase=rmd->md status=ok duration=31.607s file=Rmd/change_point/14-bocpd-hcp_bocpd.Rmd
[2026-05-20 19:51:14] phase=rmd->md status=ok duration=1.822s file=Rmd/change_point/15-ensemble-fuzzy-har_ensemble_fuzzy.Rmd
[2026-05-20 19:51:16] phase=rmd->md status=ok duration=2.204s file=Rmd/change_point/16-plot-ensemble-har_plot_ensemble.Rmd
[2026-05-20 19:51:17] phase=rmd->md status=ok duration=0.687s file=Rmd/change_point/17-page-hinkley-hcp_page_hinkley.Rmd
[2026-05-20 19:51:18] phase=rmd->md status=ok duration=0.776s file=Rmd/change_point/18-kswin-hcp_kswin.Rmd
[2026-05-20 19:52:47] phase=rmd->md status=ok duration=89.231s file=Rmd/change_point/19-joinpoint-hcp_joinpoint.Rmd
[2026-05-20 19:52:47] phase=rmd->md status=ok duration=0.011s file=Rmd/change_point/README.Rmd
[2026-05-20 19:52:49] phase=rmd->md status=ok duration=1.662s file=Rmd/custom/01-transformation-custom_transformation.Rmd
[2026-05-20 19:52:49] phase=rmd->md status=ok duration=0.337s file=Rmd/custom/02-anomaly-custom_anomaly.Rmd
[2026-05-20 19:52:50] phase=rmd->md status=ok duration=0.905s file=Rmd/custom/03-sequence-custom_sequence_anomaly.Rmd
[2026-05-20 19:52:50] phase=rmd->md status=ok duration=0.664s file=Rmd/custom/04-change-point-custom_change_point.Rmd
[2026-05-20 19:52:51] phase=rmd->md status=ok duration=0.617s file=Rmd/custom/05-motif-custom_motif.Rmd
